Sensor ID,Latitude,Longitude
1,-37.8134944,144.9651532
2,-37.81380667,144.9651672
3,-37.81105304,144.964248
4,-37.81487988,144.9660878
5,-37.81874249,144.9678766
6,-37.81911704,144.9655826
7,-37.81832375,144.9714148
8,-37.82293543,144.9471751
9,-37.81988253,144.9510828
10,-37.81876473,144.9471055
11,-37.81545656,144.9395793
12,-37.81457987,144.942924
13,-37.81234347,144.9566477
14,-37.82011242,144.962919
15,-37.81064378,144.9644713
16,-37.81573423,144.9652104
17,-37.81362542,144.9732359
18,-37.81344861,144.9730535
19,-37.81237202,144.9655067
20,-37.81172913,144.9682466
21,-37.8124803,144.9677307
22,-37.81786445,144.9650682
23,-37.81909256,144.9545275
24,-37.81887962,144.954492
25,-37.82403188,144.9559314
26,-37.80869542,144.960494
27,-37.80620438,144.9566306
28,-37.82129924,144.9687931
29,-37.81965808,144.9686345
30,-37.81121849,144.9665681
31,-37.8016968,144.9665891
32,-37.81573742,144.9668572
33,-37.81483252,144.9745406
34,-37.81537985,144.9741505
36,-37.8164708,144.9612769
37,-37.80134533,144.9671233
38,-37.81709168,144.9671478
39,-37.81384755,144.9703306
40,-37.80999341,144.9722759
42,-37.80008565,144.9638641
43,-37.79844525,144.9641178
44,-37.79682272,144.9643539
